#VOG	Function	Taxonomy (LCA)
VOG06834	sp|B4YNE9|V9_SPTNK Uncharacterized protein V9	Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae
VOG06848	REFSEQ putative mannosyltransferase OCH1-like protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG06874	REFSEQ class 3 lipase	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06877	REFSEQ putative RNA methyltransferase	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06909	REFSEQ putative secreted protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06913	REFSEQ ankyrin repeat-containing protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06932	REFSEQ histone H3-like protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG06938	REFSEQ galactose binding lectin domain-containing protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06971	REFSEQ conserved putative glycosyltransferase	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG06981	REFSEQ gp2	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Mymonaviridae
VOG07035	sp|Q6DN65|VP54_CPSVP Uncharacterized 54 kDa protein	Riboviria;Orthornavirae;Negarnaviricota;Milneviricetes;Serpentovirales;Aspiviridae
VOG07036	sp|Q6DN64|NCAP_CPSVP Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Milneviricetes;Serpentovirales;Aspiviridae
VOG07043	sp|P0C794|MATRX_BDV1 Matrix protein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Bornaviridae
VOG07057	REFSEQ conserved putative secreted protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG07125	REFSEQ RNA-dependent RNA polymerase	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;NA
VOG07185	REFSEQ putative coat protein	Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;NA
VOG07334	sp|Q6Q304|GLYC_EMARV Envelope glycoprotein	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Fimoviridae
VOG07335	sp|Q0PI70|NCAP_EMARV Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Fimoviridae
VOG07336	REFSEQ p4	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Fimoviridae
VOG07475	REFSEQ putative glycoprotein 2	Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Euroniviridae
VOG07480	REFSEQ hypothetical protein 2	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Artoviridae
VOG07491	REFSEQ putative capsid protein	Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Polycipiviridae
VOG07496	REFSEQ ORF1p	Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Amalgaviridae
VOG07808	sp|Q9XJS8|GPA_BPPM2 Uncharacterized protein Gp-a	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07809	sp|Q9XJS5|GPD_BPPM2 Uncharacterized protein Gp-d	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07810	sp|Q9XJS4|GPE_BPPM2 Uncharacterized protein Gp-e	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07812	sp|Q9XJS2|P13_BPPM2 Transcription factor P13	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07813	sp|Q9XJS1|P14_BPPM2 Uncharacterized protein P14	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07814	sp|Q9XJS0|GPH_BPPM2 Uncharacterized protein Gp-h	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07815	sp|Q9XJR8|EXLYS_BPPM2 Peptidoglycan hydrolase P7	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07816	sp|P15794|CAPSD_BPPM2 Major capsid protein P2	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07817	sp|Q9XJR6|P3_BPPM2 Protein P3	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07818	sp|Q37958|P4_BPPM2 Protein P4	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07819	sp|Q9XJR5|P8_BPPM2 Protein P8	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07820	sp|Q9XJR4|GPJ_BPPM2 Uncharacterized protein Gp-j	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07821	sp|Q9XJR1|P6_BPPM2 Protein P6	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG07822	sp|Q9XJR0|GPK_BPPM2 Uncharacterized protein Gp-k	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae
VOG08007	sp|Q6R7I4|Y040_OSHVF Uncharacterized protein ORF40	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08008	sp|Q6R7D8|Y091_OSHVF Uncharacterized protein ORF91	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08009	sp|Q6R7D6|Y093_OSHVF Uncharacterized protein ORF93	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08010	sp|Q6R7D5|Y094_OSHVF Uncharacterized protein ORF94	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08011	sp|Q6R7E7|Y082_OSHVF Uncharacterized protein ORF82	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08012	sp|Q6R7E8|Y081_OSHVF Uncharacterized protein ORF81	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08013	sp|Q6R7H3|Y052_OSHVF Uncharacterized protein ORF52	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08014	sp|Q6R7H2|Y053_OSHVF Uncharacterized protein ORF53	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08015	sp|Q6R7B1|Y115_OSHVF Uncharacterized protein ORF115	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08016	sp|Q6R7G6|Y059_OSHVF Uncharacterized protein ORF59	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08017	sp|Q6R7J5|Y028_OSHVF Uncharacterized protein ORF28	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08018	sp|Q6R7H7|Y047_OSHVF Uncharacterized protein ORF47	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08019	sp|Q6R7H8|Y046_OSHVF Uncharacterized protein ORF46	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08020	sp|Q6R7K1|Y022_OSHVF Uncharacterized protein ORF22	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08023	sp|Q6R7J3|Y030_OSHVF Uncharacterized protein ORF30	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08024	sp|Q6R7F2|Y077_OSHVF Uncharacterized protein ORF77	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08025	sp|Q6R7I1|Y043_OSHVF Uncharacterized protein ORF43	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08026	sp|Q6R7D4|Y095_OSHVF Uncharacterized protein ORF95	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08027	sp|Q6R7F7|Y071_OSHVF Uncharacterized protein ORF71	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08028	sp|Q6R7G4|Y061_OSHVF Uncharacterized protein ORF61	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08029	sp|Q6R7C5|Y104_OSHVF Uncharacterized protein ORF104	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08031	sp|Q6R7L7|Y006_OSHVF Uncharacterized protein ORF6	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08032	sp|Q6R7E0|Y089_OSHVF Uncharacterized protein ORF89	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08033	sp|Q6R7C3|Y107_OSHVF Uncharacterized protein ORF107	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08034	sp|Q6R7B9|Y111_OSHVF Putative transmembrane protein ORF111	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08035	sp|Q6R7B8|Y112_OSHVF Uncharacterized protein ORF112	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08036	sp|Q6R7B7|Y113_OSHVF Uncharacterized protein ORF113	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08037	sp|Q6R7C7|Y102_OSHVF Uncharacterized protein ORF102	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08038	sp|Q6R7C6|Y103_OSHVF Putative transmembrane protein ORF103	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08039	sp|Q6R7G8|Y057_OSHVF Putative transmembrane protein ORF57	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;NA
VOG08041	sp|Q6R7G7|Y058_OSHVF Uncharacterized protein ORF58	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08043	sp|Q6R7F3|Y076_OSHVF Uncharacterized protein ORF76	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08044	sp|Q6R7J8|Y025_OSHVF Putative transmembrane protein ORF25	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08045	sp|Q6R7J9|Y024_OSHVF Uncharacterized protein ORF24	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08046	sp|Q6R7E4|Y085_OSHVF Uncharacterized protein ORF85	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08047	sp|Q6R7F9|Y069_OSHVF Uncharacterized protein ORF69	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Malacoherpesviridae
VOG08777	REFSEQ RNA-dependent RNA polymerase	Riboviria;Orthornavirae;Negarnaviricota;Yunchangviricetes;Goujianvirales;Yueviridae
VOG09082	REFSEQ coat protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Belfryvirales;Turriviridae
VOG09528	sp|Q05219|VG13_BPML5 Gene 13 protein	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA
VOG09862	sp|O55247|G1P_BPPHL Gene 1 protein	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
VOG10818	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae
VOG10819	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae
VOG11404	sp|P19195|Y9KD_BPBF2 Uncharacterized 9.2 kDa protein	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Demerecviridae
VOG11820	sp|P15893|ORF2_SPV1R Uncharacterized protein ORF2	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11821	sp|Q88416|ORF5_SPV1C Uncharacterized protein ORF5	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11822	sp|P15900|CAPSD_SPV1R Putative capsid protein ORF9	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11823	sp|P15892|ORF1_SPV1R Uncharacterized protein ORF1	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11825	sp|P15898|ORF7_SPV1R Uncharacterized protein ORF7	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11828	sp|P15895|ORF4_SPV1R Uncharacterized protein ORF4	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11829	sp|Q88425|ORF11_SPV1C Uncharacterized protein ORF11	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11830	sp|P15901|ORF10_SPV1R Uncharacterized protein ORF10	Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae
VOG11837	sp|P11124|RDRP_BPPH6 RNA-directed RNA polymerase	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG11849	sp|P11126|P1_BPPH6 Major inner protein P1	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG11854	sp|P11125|P4_BPPH6 Packaging enzyme P4	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG11858	sp|P11123|P7_BPPH6 Assembly protein P7	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG18856	REFSEQ DNA packaging protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
VOG18858	REFSEQ DNA delivery protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
VOG18859	REFSEQ DNA delivery protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
